Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:58:59.823000,STR,18,0 days 00:02:25.714000,13.0,2.0,,,0 days 00:00:25.602000,0 days 00:01:03.549000,0 days 00:00:56.563000,0 days 00:56:59.775000,0 days 00:58:03.324000,0 days 00:58:59.887000,192.0,144.0,212.0,217.0,False,HARD,3.0,True,Racing Point,0 days 00:56:34.109000,,41,10.0,,,False,False
0 days 01:00:46.189000,STR,18,0 days 00:01:46.366000,14.0,2.0,,,0 days 00:00:18.707000,0 days 00:00:44.545000,0 days 00:00:43.114000,0 days 00:59:18.594000,0 days 01:00:03.139000,0 days 01:00:46.253000,272.0,279.0,213.0,308.0,False,HARD,4.0,True,Racing Point,0 days 00:58:59.823000,,1,10.0,,,False,True
0 days 01:02:30.931000,STR,18,0 days 00:01:44.742000,15.0,2.0,,,0 days 00:00:18.295000,0 days 00:00:44.343000,0 days 00:00:42.104000,0 days 01:01:04.548000,0 days 01:01:48.891000,0 days 01:02:30.995000,276.0,283.0,215.0,296.0,False,HARD,5.0,True,Racing Point,0 days 01:00:46.189000,,1,10.0,,,False,True
0 days 01:04:15.542000,STR,18,0 days 00:01:44.611000,16.0,2.0,,,0 days 00:00:18.135000,0 days 00:00:43.805000,0 days 00:00:42.671000,0 days 01:02:49.130000,0 days 01:03:32.935000,0 days 01:04:15.606000,277.0,282.0,213.0,332.0,False,HARD,6.0,True,Racing Point,0 days 01:02:30.931000,,1,10.0,,,False,True
0 days 01:06:00.093000,STR,18,0 days 00:01:44.551000,17.0,2.0,,,0 days 00:00:18.047000,0 days 00:00:43.890000,0 days 00:00:42.614000,0 days 01:04:33.653000,0 days 01:05:17.543000,0 days 01:06:00.157000,279.0,283.0,211.0,319.0,False,HARD,7.0,True,Racing Point,0 days 01:04:15.542000,,1,10.0,,,False,True
0 days 01:07:45.119000,STR,18,0 days 00:01:45.026000,18.0,2.0,,,0 days 00:00:18.343000,0 days 00:00:44.055000,0 days 00:00:42.628000,0 days 01:06:18.500000,0 days 01:07:02.555000,0 days 01:07:45.183000,273.0,290.0,214.0,318.0,False,HARD,8.0,True,Racing Point,0 days 01:06:00.093000,,1,10.0,,,False,True
0 days 01:09:28.883000,STR,18,0 days 00:01:43.764000,19.0,2.0,,,0 days 00:00:18.065000,0 days 00:00:44.012000,0 days 00:00:41.687000,0 days 01:08:03.248000,0 days 01:08:47.260000,0 days 01:09:28.947000,280.0,295.0,214.0,328.0,True,HARD,9.0,True,Racing Point,0 days 01:07:45.119000,,1,9.0,,,False,True
0 days 01:11:12.849000,STR,18,0 days 00:01:43.966000,20.0,2.0,,,0 days 00:00:18.052000,0 days 00:00:44.422000,0 days 00:00:41.492000,0 days 01:09:46.999000,0 days 01:10:31.421000,0 days 01:11:12.913000,272.0,281.0,214.0,291.0,False,HARD,10.0,True,Racing Point,0 days 01:09:28.883000,,1,9.0,,,False,True
0 days 01:12:56.567000,STR,18,0 days 00:01:43.718000,21.0,2.0,,,0 days 00:00:17.871000,0 days 00:00:44.453000,0 days 00:00:41.394000,0 days 01:11:30.784000,0 days 01:12:15.237000,0 days 01:12:56.631000,276.0,284.0,214.0,294.0,True,HARD,11.0,True,Racing Point,0 days 01:11:12.849000,,1,9.0,,,False,True
0 days 01:14:40.202000,STR,18,0 days 00:01:43.635000,22.0,2.0,,,0 days 00:00:17.931000,0 days 00:00:44.276000,0 days 00:00:41.428000,0 days 01:13:14.562000,0 days 01:13:58.838000,0 days 01:14:40.266000,280.0,286.0,214.0,296.0,True,HARD,12.0,True,Racing Point,0 days 01:12:56.567000,,1,9.0,,,False,True
