Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:12:10.179000,SAI,55,0 days 00:01:22.944000,49.0,3.0,,,0 days 00:00:29.852000,0 days 00:00:29.876000,0 days 00:00:23.216000,0 days 02:11:17.142000,0 days 02:11:47.018000,0 days 02:12:10.234000,273.0,240.0,246.0,281.0,True,SOFT,5.0,False,Ferrari,0 days 02:10:47.235000,,1,5.0,,,False,True
0 days 02:13:32.568000,SAI,55,0 days 00:01:22.389000,50.0,3.0,,,0 days 00:00:29.649000,0 days 00:00:29.597000,0 days 00:00:23.143000,0 days 02:12:39.883000,0 days 02:13:09.480000,0 days 02:13:32.623000,274.0,240.0,243.0,280.0,True,SOFT,6.0,False,Ferrari,0 days 02:12:10.179000,,1,5.0,,,False,True
0 days 02:14:54.568000,SAI,55,0 days 00:01:22,51.0,3.0,,,0 days 00:00:29.547000,0 days 00:00:29.454000,0 days 00:00:22.999000,0 days 02:14:02.170000,0 days 02:14:31.624000,0 days 02:14:54.623000,277.0,242.0,246.0,280.0,True,SOFT,7.0,False,Ferrari,0 days 02:13:32.568000,,1,5.0,,,False,True
0 days 02:16:17.059000,SAI,55,0 days 00:01:22.491000,52.0,3.0,,,0 days 00:00:29.636000,0 days 00:00:29.676000,0 days 00:00:23.179000,0 days 02:15:24.259000,0 days 02:15:53.935000,0 days 02:16:17.114000,276.0,240.0,244.0,283.0,False,SOFT,8.0,False,Ferrari,0 days 02:14:54.568000,,1,4.0,,,False,True
0 days 02:17:39.947000,SAI,55,0 days 00:01:22.888000,53.0,3.0,,,0 days 00:00:29.551000,0 days 00:00:30.048000,0 days 00:00:23.289000,0 days 02:16:46.665000,0 days 02:17:16.713000,0 days 02:17:40.002000,280.0,236.0,247.0,282.0,False,SOFT,9.0,False,Ferrari,0 days 02:16:17.059000,,1,4.0,,,False,True
0 days 02:19:02.931000,SAI,55,0 days 00:01:22.984000,54.0,3.0,,,0 days 00:00:29.607000,0 days 00:00:29.825000,0 days 00:00:23.552000,0 days 02:18:09.609000,0 days 02:18:39.434000,0 days 02:19:02.986000,273.0,242.0,250.0,283.0,False,SOFT,10.0,False,Ferrari,0 days 02:17:39.947000,,1,3.0,,,False,True
0 days 02:20:25.797000,SAI,55,0 days 00:01:22.866000,55.0,3.0,,,0 days 00:00:29.347000,0 days 00:00:30.003000,0 days 00:00:23.516000,0 days 02:19:32.333000,0 days 02:20:02.336000,0 days 02:20:25.852000,279.0,238.0,245.0,296.0,False,SOFT,11.0,False,Ferrari,0 days 02:19:02.931000,,1,3.0,,,False,True
0 days 02:21:48.780000,SAI,55,0 days 00:01:22.983000,56.0,3.0,,,0 days 00:00:29.886000,0 days 00:00:29.811000,0 days 00:00:23.286000,0 days 02:20:55.738000,0 days 02:21:25.549000,0 days 02:21:48.835000,274.0,241.0,246.0,280.0,False,SOFT,12.0,False,Ferrari,0 days 02:20:25.797000,,1,3.0,,,False,True
0 days 02:23:11.453000,SAI,55,0 days 00:01:22.673000,57.0,3.0,,,0 days 00:00:29.682000,0 days 00:00:29.692000,0 days 00:00:23.299000,0 days 02:22:18.517000,0 days 02:22:48.209000,0 days 02:23:11.508000,278.0,238.0,247.0,283.0,False,SOFT,13.0,False,Ferrari,0 days 02:21:48.780000,,1,3.0,,,False,True
0 days 02:24:34.379000,SAI,55,0 days 00:01:22.926000,58.0,3.0,,,0 days 00:00:29.728000,0 days 00:00:29.757000,0 days 00:00:23.441000,0 days 02:23:41.236000,0 days 02:24:10.993000,0 days 02:24:34.434000,275.0,239.0,244.0,282.0,False,SOFT,14.0,False,Ferrari,0 days 02:23:11.453000,,1,3.0,,,False,True
0 days 02:25:57.272000,SAI,55,0 days 00:01:22.893000,59.0,3.0,,,0 days 00:00:29.575000,0 days 00:00:29.711000,0 days 00:00:23.607000,0 days 02:25:04.009000,0 days 02:25:33.720000,0 days 02:25:57.327000,276.0,243.0,245.0,282.0,False,SOFT,15.0,False,Ferrari,0 days 02:24:34.379000,,1,3.0,,,False,True
0 days 02:27:20.509000,SAI,55,0 days 00:01:23.237000,60.0,3.0,,,0 days 00:00:29.685000,0 days 00:00:29.842000,0 days 00:00:23.710000,0 days 02:26:27.012000,0 days 02:26:56.854000,0 days 02:27:20.564000,278.0,240.0,245.0,280.0,False,SOFT,16.0,False,Ferrari,0 days 02:25:57.272000,,1,3.0,,,False,True
0 days 02:28:43.633000,SAI,55,0 days 00:01:23.124000,61.0,3.0,,,0 days 00:00:29.829000,0 days 00:00:29.879000,0 days 00:00:23.416000,0 days 02:27:50.393000,0 days 02:28:20.272000,0 days 02:28:43.688000,278.0,240.0,245.0,281.0,False,SOFT,17.0,False,Ferrari,0 days 02:27:20.509000,,1,3.0,,,False,True
0 days 02:30:07.783000,SAI,55,0 days 00:01:24.150000,62.0,3.0,,,0 days 00:00:29.826000,0 days 00:00:30.233000,0 days 00:00:24.091000,0 days 02:29:13.514000,0 days 02:29:43.747000,0 days 02:30:07.838000,280.0,240.0,247.0,285.0,False,SOFT,18.0,False,Ferrari,0 days 02:28:43.633000,,1,3.0,,,False,True
0 days 02:31:32.019000,SAI,55,0 days 00:01:24.236000,63.0,3.0,,,0 days 00:00:30.185000,0 days 00:00:30.263000,0 days 00:00:23.788000,0 days 02:30:38.023000,0 days 02:31:08.286000,0 days 02:31:32.074000,277.0,240.0,246.0,284.0,False,SOFT,19.0,False,Ferrari,0 days 02:30:07.783000,,1,4.0,,,False,True
0 days 02:32:55.657000,SAI,55,0 days 00:01:23.638000,64.0,3.0,,,0 days 00:00:29.780000,0 days 00:00:30.229000,0 days 00:00:23.629000,0 days 02:32:01.854000,0 days 02:32:32.083000,0 days 02:32:55.712000,276.0,240.0,247.0,283.0,False,SOFT,20.0,False,Ferrari,0 days 02:31:32.019000,,1,4.0,,,False,True
0 days 02:34:19.203000,SAI,55,0 days 00:01:23.546000,65.0,3.0,,,0 days 00:00:29.806000,0 days 00:00:30.127000,0 days 00:00:23.613000,0 days 02:33:25.518000,0 days 02:33:55.645000,0 days 02:34:19.258000,277.0,240.0,246.0,284.0,False,SOFT,21.0,False,Ferrari,0 days 02:32:55.657000,,1,4.0,,,False,True
