Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:43.255000,RIC,3,0 days 00:01:36.766000,3.0,1.0,,,0 days 00:00:36.440000,0 days 00:00:30.303000,0 days 00:00:30.023000,0 days 01:03:42.958000,0 days 01:04:13.261000,0 days 01:04:43.284000,282.0,311.0,298.0,322.0,True,MEDIUM,3.0,True,RB,0 days 01:03:06.489000,,1,15.0,,,False,True
0 days 01:06:19.526000,RIC,3,0 days 00:01:36.271000,4.0,1.0,,,0 days 00:00:35.734000,0 days 00:00:30.292000,0 days 00:00:30.245000,0 days 01:05:19.018000,0 days 01:05:49.310000,0 days 01:06:19.555000,285.0,309.0,297.0,318.0,True,MEDIUM,4.0,True,RB,0 days 01:04:43.255000,,1,15.0,,,False,True
0 days 01:07:55.225000,RIC,3,0 days 00:01:35.699000,5.0,1.0,,,0 days 00:00:35.461000,0 days 00:00:30.256000,0 days 00:00:29.982000,0 days 01:06:55.016000,0 days 01:07:25.272000,0 days 01:07:55.254000,285.0,307.0,297.0,318.0,True,MEDIUM,5.0,True,RB,0 days 01:06:19.526000,,1,15.0,,,False,True
0 days 01:09:31.072000,RIC,3,0 days 00:01:35.847000,6.0,1.0,,,0 days 00:00:35.463000,0 days 00:00:30.075000,0 days 00:00:30.309000,0 days 01:08:30.717000,0 days 01:09:00.792000,0 days 01:09:31.101000,284.0,322.0,305.0,330.0,False,MEDIUM,6.0,True,RB,0 days 01:07:55.225000,,12,14.0,,,False,True
0 days 01:11:43.546000,RIC,3,0 days 00:02:12.474000,7.0,1.0,,0 days 01:11:42.435000,0 days 00:00:45.442000,0 days 00:00:42.229000,0 days 00:00:44.803000,0 days 01:10:16.543000,0 days 01:10:58.772000,0 days 01:11:43.575000,163.0,160.0,,229.0,False,MEDIUM,7.0,True,RB,0 days 01:09:31.072000,,24,14.0,,,False,False
0 days 01:14:57.232000,RIC,3,,8.0,2.0,0 days 01:12:45.853000,,,0 days 00:00:44.279000,0 days 00:00:42.299000,,0 days 01:14:15.147000,0 days 01:14:57.425000,179.0,149.0,266.0,147.0,False,HARD,1.0,True,RB,0 days 01:11:43.546000,,4,18.0,,,False,False
0 days 01:17:07.230000,RIC,3,0 days 00:02:09.998000,9.0,2.0,,,0 days 00:00:42.528000,0 days 00:00:47.238000,0 days 00:00:40.232000,0 days 01:15:39.789000,0 days 01:16:27.027000,0 days 01:17:07.259000,121.0,150.0,292.0,170.0,False,HARD,2.0,True,RB,0 days 01:14:57.232000,,41,18.0,,,False,False
0 days 01:18:47.220000,RIC,3,0 days 00:01:39.990000,10.0,2.0,,,0 days 00:00:38.260000,0 days 00:00:31.032000,0 days 00:00:30.698000,0 days 01:17:45.519000,0 days 01:18:16.551000,0 days 01:18:47.249000,286.0,303.0,297.0,322.0,False,HARD,3.0,True,RB,0 days 01:17:07.230000,,1,18.0,,,False,True
0 days 01:20:24.039000,RIC,3,0 days 00:01:36.819000,11.0,2.0,,,0 days 00:00:36.633000,0 days 00:00:30.266000,0 days 00:00:29.920000,0 days 01:19:23.882000,0 days 01:19:54.148000,0 days 01:20:24.068000,286.0,321.0,307.0,330.0,False,HARD,4.0,True,RB,0 days 01:18:47.220000,,1,18.0,,,False,True
0 days 01:22:00.134000,RIC,3,0 days 00:01:36.095000,12.0,2.0,,,0 days 00:00:35.792000,0 days 00:00:30.336000,0 days 00:00:29.967000,0 days 01:20:59.860000,0 days 01:21:30.196000,0 days 01:22:00.163000,284.0,313.0,298.0,316.0,False,HARD,5.0,True,RB,0 days 01:20:24.039000,,1,18.0,,,False,True
0 days 01:23:36.471000,RIC,3,0 days 00:01:36.337000,13.0,2.0,,,0 days 00:00:35.538000,0 days 00:00:30.714000,0 days 00:00:30.085000,0 days 01:22:35.701000,0 days 01:23:06.415000,0 days 01:23:36.500000,286.0,310.0,297.0,314.0,False,HARD,6.0,True,RB,0 days 01:22:00.134000,,1,18.0,,,False,True
0 days 01:25:12.077000,RIC,3,0 days 00:01:35.606000,14.0,2.0,,,0 days 00:00:35.562000,0 days 00:00:30.218000,0 days 00:00:29.826000,0 days 01:24:12.062000,0 days 01:24:42.280000,0 days 01:25:12.106000,287.0,308.0,297.0,314.0,True,HARD,7.0,True,RB,0 days 01:23:36.471000,,1,18.0,,,False,True
0 days 01:26:47.543000,RIC,3,0 days 00:01:35.466000,15.0,2.0,,,0 days 00:00:35.330000,0 days 00:00:30.180000,0 days 00:00:29.956000,0 days 01:25:47.436000,0 days 01:26:17.616000,0 days 01:26:47.572000,285.0,312.0,298.0,317.0,True,HARD,8.0,True,RB,0 days 01:25:12.077000,,1,18.0,,,False,True
0 days 01:28:23.348000,RIC,3,0 days 00:01:35.805000,16.0,2.0,,,0 days 00:00:35.480000,0 days 00:00:30.212000,0 days 00:00:30.113000,0 days 01:27:23.052000,0 days 01:27:53.264000,0 days 01:28:23.377000,287.0,312.0,299.0,318.0,False,HARD,9.0,True,RB,0 days 01:26:47.543000,,1,18.0,,,False,True
0 days 01:29:59.615000,RIC,3,0 days 00:01:36.267000,17.0,2.0,,,0 days 00:00:35.974000,0 days 00:00:30.310000,0 days 00:00:29.983000,0 days 01:28:59.351000,0 days 01:29:29.661000,0 days 01:29:59.644000,285.0,324.0,305.0,333.0,False,HARD,10.0,True,RB,0 days 01:28:23.348000,,1,18.0,,,False,True
0 days 01:31:35.708000,RIC,3,0 days 00:01:36.093000,18.0,2.0,,,0 days 00:00:35.958000,0 days 00:00:30.173000,0 days 00:00:29.962000,0 days 01:30:35.602000,0 days 01:31:05.775000,0 days 01:31:35.737000,288.0,312.0,306.0,319.0,False,HARD,11.0,True,RB,0 days 01:29:59.615000,,1,18.0,,,False,True
0 days 01:33:11.561000,RIC,3,0 days 00:01:35.853000,19.0,2.0,,,0 days 00:00:35.819000,0 days 00:00:30.112000,0 days 00:00:29.922000,0 days 01:32:11.556000,0 days 01:32:41.668000,0 days 01:33:11.590000,287.0,310.0,306.0,326.0,False,HARD,12.0,True,RB,0 days 01:31:35.708000,,1,18.0,,,False,True
0 days 01:34:47.634000,RIC,3,0 days 00:01:36.073000,20.0,2.0,,,0 days 00:00:35.843000,0 days 00:00:29.937000,0 days 00:00:30.293000,0 days 01:33:47.433000,0 days 01:34:17.370000,0 days 01:34:47.663000,287.0,324.0,306.0,332.0,False,HARD,13.0,True,RB,0 days 01:33:11.561000,,1,18.0,,,False,True
0 days 01:36:24.413000,RIC,3,0 days 00:01:36.779000,21.0,2.0,,,0 days 00:00:36.830000,0 days 00:00:29.973000,0 days 00:00:29.976000,0 days 01:35:24.493000,0 days 01:35:54.466000,0 days 01:36:24.442000,287.0,318.0,306.0,331.0,False,HARD,14.0,True,RB,0 days 01:34:47.634000,,1,18.0,,,False,True
0 days 01:38:00.846000,RIC,3,0 days 00:01:36.433000,22.0,2.0,,,0 days 00:00:36.561000,0 days 00:00:29.903000,0 days 00:00:29.969000,0 days 01:37:01.003000,0 days 01:37:30.906000,0 days 01:38:00.875000,287.0,323.0,307.0,331.0,False,HARD,15.0,True,RB,0 days 01:36:24.413000,,1,18.0,,,False,True
0 days 01:39:36.701000,RIC,3,0 days 00:01:35.855000,23.0,2.0,,,0 days 00:00:35.877000,0 days 00:00:30.007000,0 days 00:00:29.971000,0 days 01:38:36.752000,0 days 01:39:06.759000,0 days 01:39:36.730000,287.0,318.0,306.0,330.0,False,HARD,16.0,True,RB,0 days 01:38:00.846000,,1,18.0,,,False,True
0 days 01:41:11.636000,RIC,3,0 days 00:01:34.935000,24.0,2.0,,,0 days 00:00:35.091000,0 days 00:00:29.843000,0 days 00:00:30.001000,0 days 01:40:11.821000,0 days 01:40:41.664000,0 days 01:41:11.665000,288.0,309.0,295.0,313.0,True,HARD,17.0,True,RB,0 days 01:39:36.701000,,1,17.0,,,False,True
0 days 01:42:46.375000,RIC,3,0 days 00:01:34.739000,25.0,2.0,,,0 days 00:00:35.044000,0 days 00:00:29.885000,0 days 00:00:29.810000,0 days 01:41:46.709000,0 days 01:42:16.594000,0 days 01:42:46.404000,288.0,309.0,296.0,315.0,True,HARD,18.0,True,RB,0 days 01:41:11.636000,,1,17.0,,,False,True
0 days 01:44:21.348000,RIC,3,0 days 00:01:34.973000,26.0,2.0,,,0 days 00:00:35.025000,0 days 00:00:29.981000,0 days 00:00:29.967000,0 days 01:43:21.429000,0 days 01:43:51.410000,0 days 01:44:21.377000,289.0,308.0,297.0,316.0,False,HARD,19.0,True,RB,0 days 01:42:46.375000,,1,17.0,,,False,True
0 days 01:45:56.996000,RIC,3,0 days 00:01:35.648000,27.0,2.0,,,0 days 00:00:35.583000,0 days 00:00:30.098000,0 days 00:00:29.967000,0 days 01:44:56.960000,0 days 01:45:27.058000,0 days 01:45:57.025000,284.0,312.0,297.0,318.0,False,HARD,20.0,True,RB,0 days 01:44:21.348000,,1,17.0,,,False,True
0 days 01:47:32.281000,RIC,3,0 days 00:01:35.285000,28.0,2.0,,,0 days 00:00:35.502000,0 days 00:00:29.959000,0 days 00:00:29.824000,0 days 01:46:32.527000,0 days 01:47:02.486000,0 days 01:47:32.310000,288.0,316.0,299.0,322.0,False,HARD,21.0,True,RB,0 days 01:45:56.996000,,1,17.0,,,False,True
0 days 01:49:07.930000,RIC,3,0 days 00:01:35.649000,29.0,2.0,,,0 days 00:00:35.595000,0 days 00:00:30.200000,0 days 00:00:29.854000,0 days 01:48:07.905000,0 days 01:48:38.105000,0 days 01:49:07.959000,287.0,313.0,300.0,322.0,False,HARD,22.0,True,RB,0 days 01:47:32.281000,,1,17.0,,,False,True
0 days 01:50:43.538000,RIC,3,0 days 00:01:35.608000,30.0,2.0,,,0 days 00:00:35.466000,0 days 00:00:30.276000,0 days 00:00:29.866000,0 days 01:49:43.425000,0 days 01:50:13.701000,0 days 01:50:43.567000,288.0,300.0,300.0,323.0,False,HARD,23.0,True,RB,0 days 01:49:07.930000,,1,17.0,,,False,True
0 days 01:52:18.971000,RIC,3,0 days 00:01:35.433000,31.0,2.0,,,0 days 00:00:35.565000,0 days 00:00:30.106000,0 days 00:00:29.762000,0 days 01:51:19.132000,0 days 01:51:49.238000,0 days 01:52:19,288.0,311.0,308.0,332.0,False,HARD,24.0,True,RB,0 days 01:50:43.538000,,1,17.0,,,False,True
0 days 01:53:54.775000,RIC,3,0 days 00:01:35.804000,32.0,2.0,,,0 days 00:00:35.768000,0 days 00:00:30.303000,0 days 00:00:29.733000,0 days 01:52:54.768000,0 days 01:53:25.071000,0 days 01:53:54.804000,289.0,317.0,307.0,328.0,False,HARD,25.0,True,RB,0 days 01:52:18.971000,,1,17.0,,,False,True
0 days 01:55:30.528000,RIC,3,0 days 00:01:35.753000,33.0,2.0,,,0 days 00:00:36.095000,0 days 00:00:30.076000,0 days 00:00:29.582000,0 days 01:54:30.899000,0 days 01:55:00.975000,0 days 01:55:30.557000,288.0,318.0,309.0,335.0,False,HARD,26.0,True,RB,0 days 01:53:54.775000,,1,17.0,,,False,True
0 days 01:57:05.778000,RIC,3,0 days 00:01:35.250000,34.0,2.0,,,0 days 00:00:35.588000,0 days 00:00:29.868000,0 days 00:00:29.794000,0 days 01:56:06.145000,0 days 01:56:36.013000,0 days 01:57:05.807000,288.0,322.0,299.0,320.0,False,HARD,27.0,True,RB,0 days 01:55:30.528000,,1,17.0,,,False,True
0 days 01:58:40.436000,RIC,3,0 days 00:01:34.658000,35.0,2.0,,,0 days 00:00:35.174000,0 days 00:00:29.822000,0 days 00:00:29.662000,0 days 01:57:40.981000,0 days 01:58:10.803000,0 days 01:58:40.465000,288.0,314.0,300.0,321.0,True,HARD,28.0,True,RB,0 days 01:57:05.778000,,1,17.0,,,False,True
0 days 02:00:15.356000,RIC,3,0 days 00:01:34.920000,36.0,2.0,,,0 days 00:00:35.342000,0 days 00:00:29.868000,0 days 00:00:29.710000,0 days 01:59:15.807000,0 days 01:59:45.675000,0 days 02:00:15.385000,289.0,311.0,298.0,312.0,False,HARD,29.0,True,RB,0 days 01:58:40.436000,,1,17.0,,,False,True
0 days 02:01:49.481000,RIC,3,0 days 00:01:34.125000,37.0,2.0,,,0 days 00:00:34.931000,0 days 00:00:29.642000,0 days 00:00:29.552000,0 days 02:00:50.316000,0 days 02:01:19.958000,0 days 02:01:49.510000,289.0,312.0,299.0,318.0,True,HARD,30.0,True,RB,0 days 02:00:15.356000,,1,17.0,,,False,True
